City_ID,City,Country,Lng,Lat,Max Temp,Humidity,Cloudiness,Wind Speed,current_description
0,Mataura,NZ,168.8643,-46.1927,59.49,37,14,4.45,few clouds
1,Chuy,UY,-53.4616,-33.6971,63.03,92,21,8.32,few clouds
2,Port Elizabeth,ZA,25.5701,-33.918,68.09,88,20,14.97,few clouds
3,Souillac,MU,57.5167,-20.5167,81.36,83,75,12.66,broken clouds
4,Adrar,MR,-10.0711,20.5022,62.73,8,0,9.13,clear sky
5,Rikitea,PF,-134.9692,-23.1203,79.43,68,100,13.71,overcast clouds
6,San Patricio,US,-97.5169,28.017,44.83,59,0,6.73,clear sky
7,Cape Town,ZA,18.4232,-33.9258,66.34,74,80,1.01,broken clouds
8,Perth,AU,115.8333,-31.9333,87.03,57,21,5.75,few clouds
9,Hohhot,CN,111.6522,40.8106,21.49,38,0,4.47,clear sky
10,Ushuaia,AR,-68.3,-54.8,49.66,57,20,18.41,few clouds
11,Jamestown,US,-79.2353,42.097,12.33,85,0,5.75,clear sky
12,Punta Arenas,CL,-70.9167,-53.15,53.71,58,40,8.05,scattered clouds
13,Tornio,FI,24.1466,65.8481,24.82,97,89,11.79,overcast clouds
14,Sao Joao Da Barra,BR,-41.0511,-21.6403,76.73,85,1,22.17,clear sky
15,Mahebourg,MU,57.7,-20.4081,81.25,83,75,12.66,broken clouds
16,Cabo San Lucas,MX,-109.9124,22.8909,66.51,58,0,1.99,clear sky
17,Qax,AZ,46.9242,41.4225,20.39,44,0,5.95,clear sky
18,Nome,US,-165.4064,64.5011,-2.13,65,0,5.75,clear sky
19,Iqaluit,CA,-68.5145,63.7506,-33.07,68,40,3.44,scattered clouds
20,Fortuna,US,-124.1573,40.5982,47.66,92,0,0.0,clear sky
21,Faanui,PF,-151.75,-16.4833,79.81,76,18,19.19,moderate rain
22,Sulangan,PH,123.7228,11.1373,80.58,73,99,16.49,overcast clouds
23,Arraial Do Cabo,BR,-42.0278,-22.9661,76.41,87,69,26.08,broken clouds
24,Hilo,US,-155.09,19.7297,76.73,75,20,6.91,few clouds
25,Glens Falls,US,-73.644,43.3095,10.31,73,0,9.22,clear sky
26,Cidreira,BR,-50.2056,-30.1811,73.71,89,86,4.92,overcast clouds
27,South Valley,US,-106.6781,35.0101,36.21,58,0,4.61,clear sky
28,Bluff,NZ,168.3333,-46.6,59.81,58,9,11.59,clear sky
29,Vaini,TO,-175.2,-21.2,78.96,89,100,14.97,overcast clouds
30,Acapulco,MX,-99.8901,16.8634,80.42,78,0,10.36,clear sky
31,Avarua,CK,-159.775,-21.2078,82.45,74,40,14.97,scattered clouds
